date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:36:55	5409/5409	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Mar%202023%2017:33:52%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Finstitutions%2Fusg-trn-sq.png?auto=format&h=80&ixlib=php-3.3.1&s=5b2ed845c1e3fa8d9f31ee469baf6c40	/home/mohamed/websites/final_class/ccweb.imgix.net/https_/www.classcentral.com/images/logos/institutions/usg-trn-sq40e2.png	(from https://www.classcentral.com/universities)
04:36:56	738185/738185	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2002:36:53%20GMT	https://www.classcentral.com/university/usg	/home/mohamed/websites/final_class/www.classcentral.com/university/usg.html	(from https://www.classcentral.com/universities)
04:36:57	802758/802758	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2002:36:56%20GMT	https://www.classcentral.com/university/cmuniv	/home/mohamed/websites/final_class/www.classcentral.com/university/cmuniv.html	(from https://www.classcentral.com/universities)
04:36:58	248/248	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Mar%202023%2012:29:04%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Finstitutions%2Femory-trn-sq.png?auto=format&blur=200&h=80&ixlib=php-3.3.1&px=16&s=64c31703cb91f8d70bc5f195381a449b	/home/mohamed/websites/final_class/ccweb.imgix.net/https_/www.classcentral.com/images/logos/institutions/emory-trn-sqc92b.png	(from https://www.classcentral.com/universities)
04:36:59	3423/3423	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Mar%202023%2016:10:17%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Finstitutions%2Femory-trn-sq.png?auto=format&h=80&ixlib=php-3.3.1&s=f07bee224f72d4008f7ca3d92326129c	/home/mohamed/websites/final_class/ccweb.imgix.net/https_/www.classcentral.com/images/logos/institutions/emory-trn-sq3c32.png	(from https://www.classcentral.com/universities)
04:37:00	744970/744970	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2002:36:57%20GMT	https://www.classcentral.com/university/emory	/home/mohamed/websites/final_class/www.classcentral.com/university/emory.html	(from https://www.classcentral.com/universities)
04:37:01	311/311	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Mar%202023%2018:16:57%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Finstitutions%2Faachen-trn-sq.png?auto=format&blur=200&h=80&ixlib=php-3.3.1&px=16&s=2d1740633d141d7749b8693fe7ef94b2	/home/mohamed/websites/final_class/ccweb.imgix.net/https_/www.classcentral.com/images/logos/institutions/aachen-trn-sq399c.png	(from https://www.classcentral.com/universities)
04:37:02	3560/3560	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Mar%202023%2017:33:56%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Finstitutions%2Faachen-trn-sq.png?auto=format&h=80&ixlib=php-3.3.1&s=cbadf040c5d795809f881cdc9ad1914b	/home/mohamed/websites/final_class/ccweb.imgix.net/https_/www.classcentral.com/images/logos/institutions/aachen-trn-sq59a5.png	(from https://www.classcentral.com/universities)
04:37:03	737156/737156	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2002:37:00%20GMT	https://www.classcentral.com/university/aachen	/home/mohamed/websites/final_class/www.classcentral.com/university/aachen.html	(from https://www.classcentral.com/universities)
04:37:04	248/248	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Mar%202023%2013:08:54%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Finstitutions%2Fep-trn-sq.png?auto=format&blur=200&h=80&ixlib=php-3.3.1&px=16&s=8d8ad6f05b91014bbac870a5e0fd9372	/home/mohamed/websites/final_class/ccweb.imgix.net/https_/www.classcentral.com/images/logos/institutions/ep-trn-sq24a1.png	(from https://www.classcentral.com/universities)
